NME_CONVOCATORIA	ANO_CONVO	COD_GRUPO_GR	NME_GRUPO_GR	FCREACION_GR	NME_MUNICIPIO_GR	NME_DEPARTAMENTO_GR	NME_PAIS_GR	NME_REGION_GR	COD_DANE_GR	ID_AREA_CON_GR	NME_AREA_GR	NME_GRAN_AREA_GR	NME_CLASIFICACION_GR	ORDEN_CLAS_GR	EDAD_ANOS_GR
Convocatoria 781 de 2017	1/01/2017	COL0067335	Grupo de Investigación en Contabilidad,  Administración y Economía - GICADE	1/01/2006	Barranquilla	Atlántico	Colombia	Caribe	8001	5B	Economía y negocios	Ciencias sociales	A	4	11
Convocatoria 781 de 2017	1/01/2017	COL0123425	Grupo de Investigación en Sistemas Socioecológicos para el Bienestar Humano	1/01/2008	Santa Marta	Magdalena	Colombia	Caribe	47001	1E	Ciencias de la tierra y medioambientales	Ciencias naturales	B	3	9
Convocatoria 781 de 2017	1/01/2017	COL0000757	BIOLOGÍA DE ORGANISMOS TROPICALES (BIOTUN)	1/01/2000	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	1F	Ciencias biológicas	Ciencias naturales	B	3	17
Convocatoria 781 de 2017	1/01/2017	COL0138615	 FACEAC Contabilidad y Administración 	1/12/2012	Cartagena de Indias	Bolívar	Colombia	Caribe	13001	5B	Economía y negocios	Ciencias sociales	C	2	5
Convocatoria 781 de 2017	1/01/2017	COL0070232	Bioprospección y Biotecnología	1/08/2006	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	1D	Ciencias químicas	Ciencias naturales	Reconocido	0	11
Convocatoria 781 de 2017	1/01/2017	COL0029138	Sistemas agrícolas del Trópico (SAT)	1/09/2004	Zona Bananera	Magdalena	Colombia	Caribe	47980	4A	Agricultura, silvicultura y pesca	Ciencias agrícolas	A	4	13
Convocatoria 781 de 2017	1/01/2017	COL0001048	LIBBIQ UN	1/01/1980	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	1F	Ciencias biológicas	Ciencias naturales	A	4	37
Convocatoria 781 de 2017	1/01/2017	COL0022449	Grupo de Investigación en Robótica y Automatización Industrial GIRA	1/02/2003	Sogamoso	Boyacá	Colombia	Centro Oriente	15759	2B	Ingenierías eléctrica, electrónica e informática	Ingeniería y tecnología	B	3	14
Convocatoria 781 de 2017	1/01/2017	COL0024196	Estudios sobre la problematica urbano-regional de Colombia	1/02/2001	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	5G	Geografía social y económica	Ciencias sociales	B	3	16
Convocatoria 781 de 2017	1/01/2017	COL0058828	Medicina preventiva y social	1/04/2006	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	3C	Ciencias de la salud	Ciencias médicas y de la salud	A	4	11
Convocatoria 781 de 2017	1/01/2017	COL0051629	Estudios Sociales,Económicos y Jurídicos. Programa de derecho Universidad Autonoma del Caribe	1/07/2007	Barranquilla	Atlántico	Colombia	Caribe	8001	5I	Otras ciencias sociales	Ciencias sociales	C	2	10
Convocatoria 781 de 2017	1/01/2017	COL0011222	Grupo de investigacion en genetica humana UIS	1/02/1997	Bucaramanga	Santander	Colombia	Centro Oriente	68001	3B	Medicina clínica	Ciencias médicas y de la salud	Reconocido	0	20
Convocatoria 781 de 2017	1/01/2017	COL0065312	Grupo de Investigación Instituto Colombiano de Investigación en Visión y Oftalmología (CIRVO)	1/09/2005	Barranquilla	Atlántico	Colombia	Caribe	8001	3B	Medicina clínica	Ciencias médicas y de la salud	A1	5	12
Convocatoria 781 de 2017	1/01/2017	COL0063855	Grupo de Equidad en Salud	1/01/2006	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	3B	Medicina clínica	Ciencias médicas y de la salud	A1	5	11
Convocatoria 781 de 2017	1/01/2017	COL0000309	Educación, Desarrollo y Convivencia	1/08/2001	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	5C	Ciencias de la educación	Ciencias sociales	A1	5	16
Convocatoria 781 de 2017	1/01/2017	COL0101348	Grupo de Investigación en Medicina Veterinaria GIVET	1/01/2009	Caldas	Antioquia	Colombia	Eje Cafetero	5129	4C	Ciencias veterinarias	Ciencias agrícolas	B	3	8
Convocatoria 781 de 2017	1/01/2017	COL0017576	Economía, Innovación y Emprendimiento	1/11/2008	Chía	Cundinamarca	Colombia	Centro Oriente	25175	5B	Economía y negocios	Ciencias sociales	C	2	9
Convocatoria 781 de 2017	1/01/2017	COL0083061	Educación en la Complejidad	1/08/2008	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	5C	Ciencias de la educación	Ciencias sociales	C	2	9
Convocatoria 781 de 2017	1/01/2017	COL0001502	Salud Sexual y Cáncer	1/03/1998	Medellín	Antioquia	Colombia	Eje Cafetero	5001	3B	Medicina clínica	Ciencias médicas y de la salud	C	2	19
Convocatoria 781 de 2017	1/01/2017	COL0079309	Artes Plásticas y Pensamiento Poético	1/08/2006	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	6D	Arte	Humanidades	B	3	11
Convocatoria 781 de 2017	1/01/2017	COL0019042	BIOTECNOLOGIA	1/08/2007	Riohacha	La Guajira	Colombia	Caribe	44001	1F	Ciencias biológicas	Ciencias naturales	C	2	10
Convocatoria 781 de 2017	1/01/2017	COL0021541	"""HUELLAS"" Calidad de vida"	1/01/2000	Montería	Córdoba	Colombia	Caribe	23001	3C	Ciencias de la salud	Ciencias médicas y de la salud	B	3	17
Convocatoria 781 de 2017	1/01/2017	COL0066829	PSICOSABERES	1/11/2005	Neiva	Huila	Colombia	Centro Sur	41001	5A	Psicología	Ciencias sociales	C	2	12
Convocatoria 781 de 2017	1/01/2017	COL0007229	Diseño de Sistemas Mecánicos y Robóticos para la Producción Industrial-DIMER	1/01/2000	Barranquilla	Atlántico	Colombia	Caribe	8001	2C	Ingeniería mecánica	Ingeniería y tecnología	C	2	17
Convocatoria 781 de 2017	1/01/2017	COL0067469	Grupo de Investigaciones Microbiológicas - UR (GIMUR)	1/01/2008	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	1F	Ciencias biológicas	Ciencias naturales	A1	5	9
Convocatoria 781 de 2017	1/01/2017	COL0138562	Medio Ambiente y Cultura	1/12/2012	Yopal	Casanare	Colombia	Llano	85001	1E	Ciencias de la tierra y medioambientales	Ciencias naturales	C	2	5
Convocatoria 781 de 2017	1/01/2017	COL0078366	JUEGO, CUERPO Y MOTRICIDAD	1/02/2004	Villavicencio	Meta	Colombia	Llano	50001	5C	Ciencias de la educación	Ciencias sociales	C	2	13
Convocatoria 781 de 2017	1/01/2017	COL0029209	MUSA.IMA1	1/05/2001	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	1A	Matemática	Ciencias naturales	B	3	16
Convocatoria 781 de 2017	1/01/2017	COL0068459	GESTIÓN, ORGANIZACIONES Y SOCIEDAD	1/02/2002	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	5B	Economía y negocios	Ciencias sociales	C	2	15
Convocatoria 781 de 2017	1/01/2017	COL0135589	INAM-USTA (Ingeniería Ambiental - Universidad Santo Tomás)	1/01/2010	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	2G	Ingeniería ambiental	Ingeniería y tecnología	B	3	7
Convocatoria 781 de 2017	1/01/2017	COL0061636	Nacer, Salud Sexual y Reproductiva	1/07/2003	Medellín	Antioquia	Colombia	Eje Cafetero	5001	3C	Ciencias de la salud	Ciencias médicas y de la salud	B	3	14
Convocatoria 781 de 2017	1/01/2017	COL0013129	Laboratorio de Investigaciones en Catálisis y nuevos materiales LICATUC	1/05/1996	Cartagena de Indias	Bolívar	Colombia	Caribe	13001	1D	Ciencias químicas	Ciencias naturales	C	2	21
Convocatoria 781 de 2017	1/01/2017	COL0042541	Grupo de Investigación en Palmas Silvestres Neotropicales	1/02/1986	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	1F	Ciencias biológicas	Ciencias naturales	Reconocido	0	31
Convocatoria 781 de 2017	1/01/2017	COL0066857	Sistemas Integrados de Producción Agropecuaria, Forestal y Acuícola (SISINPRO)	1/05/2006	Popayán	Cauca	Colombia	Pacífico	19001	4A	Agricultura, silvicultura y pesca	Ciencias agrícolas	Reconocido	0	11
